topic,subtopic,calc_type,marks,question_text,answer,difficulty,source_notes
Number and Algebra,Number Skills,no_calc,6,"Given $r = 2a - \frac{\sqrt{b}}{c}$, $a=0.975$, $b=4.41$, $c=35$. (a) Calculate r. Albert rounds a, b, c to 1 significant figure and estimates r. (b)(i) Write a, b, c to 1 s.f. (ii) Find Albert's estimate. (c) Find the percentage error in Albert's estimate.","(a) r=1.89; (b)(i) a=1, b=4, c=40; (ii) r=1.95; (c) 3.17%",medium,Math AI Number Skills
Number and Algebra,Number Skills,no_calc,6,"Let $A=\sqrt{\frac{\sin \alpha - \sin \beta}{x^{2}+2y}}$, $\alpha=54°$, $\beta=18°$, $x=24$, $y=18.25$. (a) Find A (full calculator display). (b) Give to: (i) 3 s.f.; (ii) 3 d.p. (c) Express (b)(i) in the form $a \times 10^{k}$.","(a) 0.028571...; (b)(i) 0.0286; (ii) 0.029; (c) 2.86×10^{-2}",medium,Math AI Number Skills
Number and Algebra,Number Skills,no_calc,6,"Distance formula: $d=\sqrt{(x_2-x_1)^2+(y_2-y_1)^2}$. (a) Find the distance between A(40,−100) and B(1,−2) to 3 s.f. (b) Give to 1 d.p. (c) Write in the form $a \times 10^{k}$.","(a) 105 (3 s.f.); (b) 105.5; (c) 1.055×10^2",easy,Math AI Number Skills
Number and Algebra,Number Skills,no_calc,5,"Known Earth radius: 6378137 m. Jurgen measures 6432400 m. (a) Find the percentage error. (b)(i) Find the circumference Jurgen obtains, to 4 s.f. (ii) Write in the form $a \times 10^{k}$.","(a) 0.851%; (b)(i) 4.042×10^7 m; (ii) 4.042×10^7",medium,Math AI Number Skills
Number and Algebra,Number Skills,no_calc,6,"John has $z = 0.1475$. (a) Write in the form $a \times 10^{k}$. (b) Give z to 2 s.f. (c) Find the percentage error when z is rounded to 2 s.f.","(a) 1.475×10^{-1}; (b) 0.15; (c) 1.69%",easy,Math AI Number Skills
Number and Algebra,Sequences,no_calc,6,"Sequences: $a_n=1,5,10,15,...$; $b_n=\frac{1}{2},\frac{2}{3},\frac{3}{4},...$; $c_n=1.5,3,4.5,6,...$; $d_n=2,1,\frac{1}{2},\frac{1}{4},...$ (a) State the arithmetic sequence and find d. (b) State the geometric sequence and find r. (c) Find the exact 8th term of the geometric sequence as a fraction.","(a) c_n, d=1.5; (b) d_n, r=1/2; (c) u_8=2(1/2)^7=1/64",easy,Math AI Sequences Paper 1
Number and Algebra,Sequences,no_calc,6,"Arithmetic sequence: $u_1=40$, $u_2=32$, $u_3=24$. (a) Find d. (b) Find $u_8$. (c) Find $S_8$.","(a) d=-8; (b) u_8=-16; (c) S_8=96",easy,Math AI Sequences Paper 1
Number and Algebra,Sequences,no_calc,6,"Geometric sequence: $u_5=375$, $u_6=75$. (a) Find the common ratio. (b) Find $u_1$. Sum of first k terms is 292968. (c) Find k.","(a) r=1/5; (b) u_1=234375; (c) k=6",medium,Math AI Sequences Paper 1
Number and Algebra,Sequences,no_calc,6,"Geometric sequence: $u_4=135$, $u_5=81$. (a) Find the common ratio. (b) Find $u_1$. (c) Find $S_{20}$.","(a) r=3/5; (b) u_1=625; (c) S_20=625(1-(3/5)^20)/(2/5)",medium,Math AI Sequences Paper 1
Number and Algebra,Sequences,no_calc,7,"Gym membership starts at €450 and increases by €22.50/year. (a) Find the cost in year 7. (b) Write the 7-year total in sigma notation. (c) Find the total cost over 7 years. (d) Another gym costs €3750 total over 7 years. Which is cheaper and by how much?","(a) €585; (b) Σ(k=1 to 7)(450+22.5(k-1)); (c) €3622.50; (d) First gym cheaper by €127.50",medium,Math AI Sequences Paper 1
Number and Algebra,Sequences,no_calc,6,"Arithmetic sequence: 15th term is 21, common difference is −4. (a) Find the first term. (b) Find the 29th term. (c) Find the sum of the first 40 terms.","(a) u_1=77; (b) u_29=-35; (c) S_40=-40",medium,Math AI Sequences Paper 1
Number and Algebra,Sequences,calc,12,"$S_n=2n^2+n$. (a) Find $S_1$ and $S_2$. (b) Find $u_1$ and $u_2$. (c) Find d. (d) Find $u_{10}$. (e) Greatest n where $u_n < 100$. (f) Find n where $S_n=1275$.","(a) S_1=3, S_2=10; (b) u_1=3, u_2=7; (c) d=4; (d) u_10=39; (e) n=25; (f) n=25",hard,Math AI Sequences Paper 2
Number and Algebra,Sequences,calc,16,"Bill hikes: 2.1 km day 1, +0.2 km/day. Trail = 3600 km. (a) Distance day 90. (b) Days to complete trail. (c) Distance on final day. (d) Hours hiked on final day at 5 km/h. Stephen: 1 km day 1, +3%/day. (e) How much further does Bill hike than Stephen on day 90? (f) Day Stephen passes Bill. (g) Days earlier Stephen finishes than Bill.","(a) 19.9 km; (b) solve n/2(4.2+0.2(n-1))=3600; (c) find u_n; (d) time=dist/5; (e) Bill 19.9, Stephen 1(1.03)^89≈13.8, diff≈6.1; (f) solve geometrically; (g) subtract finish days",hard,Math AI Sequences Paper 2
Number and Algebra,Sequences,calc,15,"Charles: 20 pushups day 1, +5/day. (a)(i) Day 4 pushups. (ii) Day n formula. (b) Day k he first does 100. (c) Total first 10 days. Swimming: 10000 m week 1, +10%/week for 12 weeks. (d) Week 6 distance. (e) Total distance 12 weeks.","(a)(i) 35; (ii) 5n+15; (b) k=17; (c) 425; (d) 10000(1.1)^5≈16105 m; (e) 10000(1.1^12-1)/0.1≈213843 m",hard,Math AI Sequences Paper 2
Number and Algebra,Financial Mathematics,no_calc,6,"Mia deposits 4000 AUD at 6% nominal, compounded semi-annually. (a) Interest earned over 2.5 years. Ella deposits AUD at 4% nominal compounded monthly; total will be 4000 AUD in 2.5 years. (b) Find Ella's deposit. Give answers to 2 d.p.","(a) Interest = 4000(1.03)^5 - 4000 ≈ 637.09 AUD; (b) PV = 4000/(1+0.04/12)^30 ≈ 3536.15 AUD",medium,Math AI Financial Mathematics
Number and Algebra,Financial Mathematics,no_calc,6,"Charlie deposits 8000 CAD at 5% nominal compounded semi-monthly. (a) Interest over 2 years. Oscar's bank pays 6% compounded quarterly; total in 2 years = 8000 CAD. (b) Find Oscar's deposit. Give to 2 d.p.","(a) Interest ≈ 856.40 CAD; (b) PV ≈ 7099.29 CAD",medium,Math AI Financial Mathematics
Number and Algebra,Financial Mathematics,no_calc,6,"Charles invests 1000 GBP/month for 30 years at 6.5% p.a. compounded monthly. (a) Future value to nearest pound. After 30 years he receives 1500 GBP/month. (b) Years until monthly payments equal total invested.","(a) ≈ £1,164,288; (b) 1500n = 360000 → n=240 months = 20 years",hard,Math AI Financial Mathematics
Number and Algebra,Financial Mathematics,no_calc,6,"Mike wants real value of $5000 after 8 years. Interest: 4.1% p.a. Inflation: 3% p.a. Proposal 1: one-time deposit. Proposal 2: $2000 upfront plus annual payments of $x. (a) Minimum deposit for Proposal 1 (nearest dollar). (b) Minimum x for Proposal 2 (nearest dollar).","(a) solve PV×(1.041)^8 = 5000(1.03)^8 → PV≈4343; (b) 2000(1.041)^8 + x((1.041)^8-1)/0.041 = 5000(1.03)^8, solve for x",hard,Math AI Financial Mathematics
Number and Algebra,Financial Mathematics,no_calc,6,"Jeremy invests $8000 at 5.5% compounded annually. (a) Formula for value after n years. (b)(i) Value after 1 year. (ii) After 3 years. (c) Can Jeremy reach $10000 within 5 years for an apartment deposit?","(a) A(n)=8000(1.055)^n; (b)(i) $8440; (ii) ≈$9393.10; (c) A(5)≈$10442 > $10000, yes",easy,Math AI Financial Mathematics
Number and Algebra,Financial Mathematics,calc,12,"Lily (50000 AUD at 5% compounded yearly) vs Eva (50000 AUD + 3000 AUD/year). (a) Each total after year 1. (b) Expressions for year n. (c) Year Lily exceeds Eva. (d)(i) Lily's interest after 12 years (2 d.p.). (ii) Eva's earnings after 12 years.","(a) Lily: 52500, Eva: 53000; (b) Lily: 50000(1.05)^n, Eva: 50000+3000n; (c) solve numerically ≈ year 25; (d)(i) ≈39595.79 AUD; (ii) 36000 AUD",hard,Math AI Financial Mathematics Paper 2
Number and Algebra,Financial Mathematics,calc,14,"Ann: $85000 in Bank 1 (3% p.a. monthly) or Bank 2 ($250/month fixed). (a) Each total after year 1. (b) Expressions for year n. (c) Year Bank 1 exceeds Bank 2. (d)(i) Bank 1 interest after 10 years. (ii) Bank 2 interest after 10 years. Round all to nearest whole number.","(a) Bank1≈87578, Bank2=88000; (b) Bank1: 85000(1.0025)^(12n); Bank2: 85000+3000n; (c) solve numerically; (d)(i) ≈28933; (ii) 30000",hard,Math AI Financial Mathematics Paper 2
Number and Algebra,Systems of Equations,no_calc,6,"Owl height: $s(t)=at^3+bt^2+ct+d$. Initially 12 m. After 1s: 19.8 m; after 2s: 34.5 m; after 4s: 22.8 m. (a) Write down d. (b)(i) Write system of 3 equations in a, b, c. (ii) Find a, b, c. (c)(i) Find maximum height. (ii) Find time it catches prey.","(a) d=12; (b)(i) a+b+c=7.8; 8a+4b+2c=22.5; 64a+16b+4c=10.8; (ii) solve system; (c)(i) find s(t) at s'(t)=0; (ii) solve s(t)=0",hard,Math AI Systems of Equations
Number and Algebra,Systems of Equations,no_calc,6,"Rocket height: $s(t)=at^2+bt+c$. After 2s: 28.3 m; after 4s: 25.6 m; after 5s: 14.7 m. (a)(i) Write 3 equations. (ii) Find a, b, c. (b) Height of platform. (c) Time for rocket to hit ground.","(a)(i) 4a+2b+c=28.3; 16a+4b+c=25.6; 25a+5b+c=14.7; (ii) a≈-1.7, b≈12, c≈5.9; (b) s(0)≈5.9 m; (c) solve at^2+bt+c=0",medium,Math AI Systems of Equations
Number and Algebra,Systems of Equations,calc,12,"Business A: $P(t)=at^3+bt^2+ct+d$ through (0,2),(4,4),(8,-6),(12,8). (a) Feature suggesting cubic model. (b)(i) State d. (ii) Write 3 equations. (iii) Find a, b, c. Business A does not open when P<0. (c) Find dates Business A will not open. Business B: $P(t)=-0.1t^2+1.2t$. (d) Total time Business B is more profitable.","(a) Has both increasing and decreasing sections/local max and min; (b)(i) d=2; (ii) set up from table values; (iii) solve; (c) find zeros of P(t) when negative; (d) solve P_B>P_A and sum intervals",hard,Math AI Systems of Equations Paper 2
Functions,Linear Equations & Graphs,no_calc,6,"Line $L_1$: $y=\frac{1}{3}x-5$. (a) Write down the y-intercept of $L_1$. (b) Write down the gradient of $L_1$. $L_2$ is perpendicular to $L_1$ and passes through A(2,4). (c) Find the gradient of $L_2$. (d) Find the equation of $L_2$ in the form $ax+by+d=0$, $a,b,d \in \mathbb{Z}$.","(a) -5; (b) 1/3; (c) -3; (d) 3x+y-10=0",easy,Math AI Linear Equations Paper 1
Functions,Linear Equations & Graphs,no_calc,6,"Line $L_1$: $y=0.5x+p$. Point A(2,−1) lies on $L_1$. (a) Find p. $L_2$ is perpendicular to $L_1$ and intersects $L_1$ at A. (b) Find the gradient of $L_2$. (c) Find the equation of $L_2$ in the form $y=mx+c$. (d) Write your answer in the form $ax+by+d=0$, $a,b,d \in \mathbb{Z}$.","(a) p=-2; (b) -2; (c) y=-2x+3; (d) 2x+y-3=0",easy,Math AI Linear Equations Paper 1
Functions,Linear Equations & Graphs,no_calc,6,"$L_1$ passes through A(−8,0) and B(0,4). (a) Write down the coordinates of M, the midpoint of [AB]. (b) Calculate the gradient of $L_1$. $L_2$ is perpendicular to $L_1$ and passes through P(1,2). (c) Find the equation of $L_2$ in the form $y=mx+c$.","(a) M=(-4,2); (b) 1/2; (c) y=-2x+4",easy,Math AI Linear Equations Paper 1
Functions,Linear Equations & Graphs,no_calc,6,"Line $L_1$: $y-3x+5=0$. (a) Find: (i) the x-intercept; (ii) the gradient. $L_2$ passes through P(0,2) and is parallel to $L_1$. (b) Find the equation of $L_2$ in the form $y=mx+c$. $L_3$ passes through Q(3,1) and is perpendicular to $L_1$. (c) Find the gradient of $L_3$. (d) Find the equation of $L_3$ in the form $ax+by+d=0$.","(a)(i) x=5/3; (ii) 3; (b) y=3x+2; (c) -1/3; (d) x+3y-6=0",medium,Math AI Linear Equations Paper 1
Functions,Linear Equations & Graphs,no_calc,6,"$L_1$ passes through A(0,−2) and B(8,0). (a) Write down the midpoint of [AB]. $L_2$ passes through C(0,3) and is parallel to $L_1$. (b) Find the gradient of $L_2$. (c) Find the equation of $L_2$ in the form $y=mx+c$.","(a) (4,-1); (b) 1/4; (c) y=x/4+3",easy,Math AI Linear Equations Paper 1
Functions,Linear Equations & Graphs,calc,17,"Triangle ABC: C(9,5), line (AB): $x+4y=12$. (a) Find coordinates of A and B. (b) Show that |AB|=12.4 to 3 s.f. Point D on (AB); (CD) perpendicular to (AB). (c)(i) Find gradient of (CD). (ii) Find equation of (CD). (d) Find coordinates of D. (e) Calculate length [CD] to 3 s.f. (f) Calculate area of triangle ABC.","(a) A=(12,0), B=(0,3); (b) |AB|=sqrt(144+9)=sqrt(153)≈12.4; (c)(i) 4; (ii) y-5=4(x-9)→y=4x-31; (d) solve x+4y=12 and y=4x-31; (e) use distance formula; (f) area=0.5×base×height",hard,Math AI Linear Equations Paper 2
Functions,Properties of Functions,no_calc,5,"Ice cube: $W(t)=28(0.98)^t$, $t \geq 0$ (seconds). (a)(i) Find the initial weight. (ii) Find the percentage of the ice cube dissolving every 5 seconds. (b) Calculate the weight after one minute.","(a)(i) 28 g; (ii) 1-(0.98)^5 ≈ 9.61%; (b) W(60)=28(0.98)^60 ≈ 8.44 g",easy,Math AI Applications of Functions Paper 1
Functions,Exponent and Log Functions,no_calc,6,"Australian GDP: $G(t)=1806 \times (1.037)^t$, t years since 1960. (a) GDP per capita in 1960. (b) GDP per capita in 1961. (c) Find the year GDP reaches $100000 USD (nearest year).","(a) $1806 USD; (b) 1806×1.037≈$1872.82; (c) 1806(1.037)^t=100000 → t=ln(100000/1806)/ln(1.037) ≈ 104 → year 2064",medium,Math AI Applications of Functions Paper 1
Functions,Properties of Functions,no_calc,7,"AB-Tech: $P(n)=40n-130$, $n \geq 12$ months. (a) Total cost for 2 years. (b) Find $P^{-1}(1790)$. YZ-tech: $35 per month, annually only, no discount. YZ-tech is cheaper when $n>k$. (c) Find minimum value of k.","(a) P(24)=40(24)-130=830; (b) P^{-1}(1790)=(1790+130)/40=47.75≈48 months; (c) 35n < 40n-130 → 5n>130 → n>26 → k=26",medium,Math AI Applications of Functions Paper 1
Functions,Quadratics,no_calc,5,"Tunnel entrance: $h(x)=-0.6x^2+3.12x$. (a) Find the axis of symmetry. Carriage: height 3.5 cm, width 2 cm. (b) Determine whether the carriage fits through the tunnel entrance.","(a) x=-b/(2a)=-3.12/(2(-0.6))=2.6; (b) At x=1.3 (half-width from centre): h(1.3)=-0.6(1.69)+3.12(1.3)=3.042 cm < 3.5 cm. No, it doesn't fit.",medium,Math AI Applications of Functions Paper 1
Functions,Properties of Functions,no_calc,5,"Water: $W(t)=40(0.75)^t$, $t \geq 0$ (hours). (a)(i) Initial water. (ii) Percentage leaving each hour. (b) Water remaining after 5 hours.","(a)(i) 40 litres; (ii) 25%; (b) W(5)=40(0.75)^5≈9.49 litres",easy,Math AI Applications of Functions Paper 1
Functions,Quadratics,calc,13,"Cannon-ball: $h(t)=-2t^2+20t+8$, $t \geq 0$. (a) Write down the height of the tower. (b) Calculate the height 5 seconds after firing.","(a) h(0)=8 m; (b) h(5)=-2(25)+100+8=58 m",easy,Math AI Applications of Functions Paper 2
Functions,Properties of Functions,calc,12,"Harbour depth: $w(t)=a\sin(bt)+d$. Max depth 6 m, min depth 0.5 m, period 12 hours. (a) Find a, d, b. (b) Write the equation of w(t). Boating club open 8:00am–8:30pm. Jacinta can leave when depth < 1.25 m and club is open. (c) Find the times Jacinta can take her boat out (nearest minute). Club extends to 9:45pm in July/August. (d) Does Jacinta have more time in the morning or late evening in July/August?","(a) a=(6-0.5)/2=2.75, d=(6+0.5)/2=3.25, b=2π/12=π/6; (b) w(t)=2.75sin(πt/6)+3.25; (c) solve 2.75sin(πt/6)+3.25=1.25 within club hours; (d) compare morning and evening windows",hard,Math AI Applications of Functions Paper 2
Functions,Properties of Functions,no_calc,7,"Cylinder: $r(x)=\frac{56}{x}$, $4 \leq x \leq 16$ (cm). (a) Find the range of r. (b)(i) Find $r^{-1}(8)$. (ii) Interpret $r^{-1}(8)$ in context. (iii) Find the range of $r^{-1}$.","(a) 3.5 ≤ r ≤ 14; (b)(i) r^{-1}(8)=56/8=7; (ii) when radius is 8 cm, height is 7 cm; (iii) 4 ≤ r^{-1} ≤ 16",easy,Math AI Properties of Functions Paper 1
Functions,Properties of Functions,no_calc,5,"$g(x)=3-\frac{12}{x+3}$, $-9 \leq x \leq 9$, $x \neq -3$. (a) Find the range of g. (b) Find $g^{-1}(0)$.","(a) find g at endpoints and asymptote behaviour: g(-9)=3-12/(-6)=5, g(9)=3-12/12=2, range is all except 3, i.e. [-1, 2) ∪ (2, 5] — check carefully; (b) g(x)=0 → 3=12/(x+3) → x+3=4 → x=1",medium,Math AI Properties of Functions Paper 1
Functions,Properties of Functions,no_calc,6,"$f(x)=\frac{\sqrt{x+1}}{x^2-4}$, $-1 \leq x \leq 5$, $x \neq 2$. (a) Find the range of f. (b) Find $f^{-1}\left(\frac{2}{5}\right)$.","(a) evaluate at key points: f(-1)=0, f(0)=1/(-4)=-0.25, near x=2 goes to ±∞, f(5)=sqrt(6)/21; range found numerically; (b) f(x)=2/5 → sqrt(x+1)/(x^2-4)=2/5 → solve → x=3",hard,Math AI Properties of Functions Paper 1
Geometry and Trigonometry,3D Geometry & Shapes,no_calc,6,"A cuboid has length 9.6 cm, width 7.4 cm, height 5.2 cm. (a) Calculate the exact volume in cm³. (b) Write your answer correct to: (i) two decimal places; (ii) three significant figures. (c) Write (b)(ii) in the form $a \times 10^k$, where $1 \leq a < 10$, $k \in \mathbb{Z}$.","(a) 9.6×7.4×5.2=368.832 cm³; (b)(i) 368.83; (ii) 369; (c) 3.69×10^2",easy,Math AI Geometry 3D Shapes
Geometry and Trigonometry,3D Geometry & Shapes,no_calc,6,"A baseball has height 73 mm (diameter). (a) Assuming it is a perfect sphere, calculate its volume in mm³ in the form $a \times 10^k$ to 3 s.f. A volleyball has volume $4.64 \times 10^6$ mm³. (b) Calculate how many times greater the volleyball volume is than the baseball. Give answer to nearest whole number.","(a) r=36.5, V=(4/3)π(36.5)³≈2.04×10^5 mm³; (b) 4.64×10^6 / 2.04×10^5 ≈ 23",medium,Math AI Geometry 3D Shapes
Geometry and Trigonometry,3D Geometry & Shapes,no_calc,6,"A right cylinder has base diameter 0.4 m and height 2.6 m. (a) Write down the radius in cm. (b) Calculate the area of the base in m². (c) Calculate the curved surface area in m².","(a) r=20 cm; (b) A=π(0.2)²≈0.126 m²; (c) CSA=2π(0.2)(2.6)≈3.27 m²",easy,Math AI Geometry 3D Shapes
Geometry and Trigonometry,3D Geometry & Shapes,calc,14,"A toy robot: two cylinder legs (height 10 cm, volume 80 cm³ each), hemisphere body (diameter 30 cm), cone head (radius 5 cm). Total height 32 cm. (a) Calculate distance between the robot's legs. (b) Calculate volume of hemisphere to nearest cm³. (c) Calculate volume of cone. (d) Calculate total surface area to nearest cm².","(a) π r²×10=80 → r²=8/π → r≈1.60 cm, diameter≈3.19 cm, distance=30-2(3.19)≈23.6 cm; (b) V=(2/3)π(15)³≈7069 cm³; (c) cone height=32-10-15=7 cm, V=(1/3)π(5)²(7)≈183 cm³; (d) sum all surface areas",hard,Math AI Geometry 3D Shapes
Geometry and Trigonometry,3D Geometry & Shapes,calc,14,"Trapezoid ABCD: AB∥CD, AB=12 km, CD=8 km, BD=10 km, angle ABD=58°. H is on AB closest to D. (a) Find HD. (b) Find length AD. (c) Find angle DAB. A landowner estimates AD=11.5 km. (d) Find percentage error. Bollards along perimeter every 100 m: cone radius 20 cm, height 40 cm. (e) Volume of one bollard. (f) Total volume of concrete for all bollards.","(a) HD=BD sin58°≈8.48 km; (b) AD=sqrt(HD²+(AB-BH)²), BH=BD cos58°≈5.30, AH=12-5.30=6.70, AD=sqrt(8.48²+6.70²)≈10.8 km; (c) angle=arctan(HD/AH); (d) |11.5-10.8|/10.8×100%; (e) V=(1/3)π(0.2)²(0.4)≈0.01676 m³; (f) find perimeter, divide by 0.1, multiply by V",hard,Math AI Geometry 3D Shapes
Geometry and Trigonometry,3D Geometry & Shapes,no_calc,6,"Large cone: base radius 18 cm, slant height 30 cm. Small cone removed from top: vertical height 8 cm, slant height 10 cm. (a) Find radius of removed cone. (b) Find curved surface area of removed cone. (c) Find curved surface area of remaining solid.","(a) r=6 cm (by similar triangles: r/18=10/30); (b) CSA=π(6)(10)≈188 cm²; (c) CSA_large=π(18)(30)=1696 cm², subtract top, add annular base: 1696-188+π(18²-6²)≈2734 cm²",medium,Math AI Geometry 3D Shapes
Geometry and Trigonometry,3D Geometry & Shapes,no_calc,6,"Baseball diameter 73 mm, modelled as sphere. (a) Find area of one leather strip (half surface area) in mm², to 1 d.p. (b) Find circumference in mm to 3 s.f.","(a) SA=4π(36.5)²≈16741.5 mm², one strip≈8370.8 mm²; (b) C=2π(36.5)≈229 mm",easy,Math AI Geometry 3D Shapes
Geometry and Trigonometry,Trigonometry,no_calc,6,"Triangle ABC: angle AMC=150°, M is midpoint of AB, MBC is isosceles with MC=MB=4 cm. (a) Write down length AM. (b) Find angle CMB. (c) Find angle ABC. (d) Find length CB.","(a) AM=4 cm (MB=4); (b) angle CMB=180-150=30°; (c) triangle MBC isosceles: base angles=(180-30)/2=75°, so ABC=75°; (d) using sine rule in MBC: CB/sin30°=4/sin75°, CB≈2.07 cm",medium,Math AI Trigonometry
Geometry and Trigonometry,Trigonometry,no_calc,6,"Sprinkler sprays arc of 220° with max distance 5 m. (a) Calculate area of grass watered. (b) Calculate length of sprinkler arc edge.","(a) A=(220/360)×π(5)²≈47.9 m²; (b) L=(220/360)×2π(5)≈19.2 m",easy,Math AI Trigonometry
Geometry and Trigonometry,Trigonometry,no_calc,6,"Analogue clock diameter 30 cm, shaded between 1 and 6 (150° sector). (a) Find arc length between 1 and 6 to nearest cm. (b) Find area of sector to nearest integer.","(a) L=(150/360)×2π(15)≈39 cm; (b) A=(150/360)×π(15)²≈295 cm²",easy,Math AI Trigonometry
Geometry and Trigonometry,Trigonometry,calc,15,"Triangle farm: CA=270 m, CB=360 m, angle ACB=130°. (a) Find AB (river distance). (b) Total fencing cost at $130 AUD/m to nearest dollar. (c) Find angles CAB and ABC. (d) Find area of farm to nearest m². (e) Find shortest distance from C to AB. Tower at B, angle of elevation from C to top H is 1°. (f) Find height BH to nearest cm. (g) Find distance AH.","(a) AB²=270²+360²-2(270)(360)cos130°≈568²→AB≈568 m; (b) perimeter=270+360+568=1198 m, cost=1198×130≈155740 AUD; (c) sine rule; (d) A=0.5(270)(360)sin130°≈37,238 m²; (e) h=2A/AB; (f) BH=BC×tan1°≈6.28 m; (g) use cosine rule in ABH",hard,Math AI Trigonometry
Geometry and Trigonometry,Trigonometry,calc,8,"Melody walks 200 m on bearing 280°, then 150 m on bearing 035°. (a) Find distance from tent. (b) Find bearing to return to tent.","(a) use cosine rule with included angle; angle between bearings=360-280+35=115°, d²=200²+150²-2(200)(150)cos115°≈d≈299 m; (b) use sine rule to find direction, then add 180° to reverse",hard,Math AI Trigonometry
Geometry and Trigonometry,Trigonometry,calc,15,"Quadrilateral ABCD: AB=56 m, AD=122 m, CD=40 m, angle ABD=68°, angle ADC=80°. (a) Find AC. (b) Find area of triangle ACD. (c) Find angle DAC to 1 d.p. (d) Find shortest distance from B to AC. (e) Find perimeter of triangle ABC.","(a) use cosine rule in ABD; (b) A=0.5(AD)(CD)sin80°; (c) sine rule; (d) area=0.5×AC×h; (e) find BC using sine rule then sum",hard,Math AI Trigonometry
Geometry and Trigonometry,Trigonometry,no_calc,6,"Lighthouse: angle of depression from A to boat at C is 30°. Boat travels 50 m to B. Angle of elevation from B to A is 60°. (a) Write down x° in diagram. (b) Find height of lighthouse. (c) Find speed of boat in m/s.","(a) x=30°; (b) in triangle: tan60°=h/d_B, tan30°=h/(d_B+50), solve: h=25√3≈43.3 m; (c) time=1 min=60 s, speed=50/60≈0.833 m/s",medium,Math AI Trigonometry
Geometry and Trigonometry,Trigonometry,no_calc,6,"Right pyramid: apex V, square base ABCD, diagonal AC=4 cm, sloping edges 7 cm. (a) Find angle VC makes with base. (b) Find vertical height VO. (c) Find volume of pyramid.","(a) half-diagonal OC=2 cm, cos θ=2/7 → θ=arccos(2/7)≈73.4°; (b) VO=sqrt(7²-2²)=sqrt(45)=3√5≈6.71 cm; (c) side=AC/√2=2√2, V=(1/3)(2√2)²×3√5=(1/3)(8)(3√5)=8√5≈17.9 cm³",medium,Math AI Trigonometry
Geometry and Trigonometry,Trigonometry,calc,7,"Cylinder log: length 1.8 m, radius 9.2 cm. Wedge cut with cross-section sector angle 245°. (a) Find arc length ABC. (b) Find area of sector OABC. (c) Find volume of each log.","(a) L=(245/360)×2π(9.2)≈39.3 cm; (b) A=(245/360)×π(9.2)²≈181 cm²; (c) V=π(9.2)²×180≈47,900 cm³ (full cylinder)",medium,Math AI Trigonometry
Geometry and Trigonometry,Trigonometry,no_calc,6,"Grand Canyon: M at top Eastern side, P at bottom below M, depth MP=1850 m. Nathan N at bottom Western side, NP=2.5 km. (a) Write MP in km. (b) Label angle of elevation from N to M as x on diagram. (c) Find angle of elevation from N to M. (d) Find MN.","(a) MP=1.85 km; (b) label angle at N; (c) tan x=1.85/2.5 → x≈36.4°; (d) MN=sqrt(1.85²+2.5²)≈3.10 km",easy,Math AI Trigonometry
Geometry and Trigonometry,Voronoi Diagrams,no_calc,6,"Voronoi diagram with sites A, B, C, D and intersections E and F. (a) Determine the site closest to coordinate (9,6). (b) Determine coordinates of centre of largest empty circle. (c) Calculate area of largest empty circle.","(a) read from diagram — point lies in one cell; (b) largest empty circle centred at vertex of Voronoi diagram furthest from all sites; (c) A=πr² where r is distance from centre to nearest site",medium,Math AI Voronoi Diagrams
Geometry and Trigonometry,Voronoi Diagrams,no_calc,6,"Coffee shops A(-3,5), B(5,3), C(3,9), D(3,-3), E(11,5). Scale: 1 unit = 1 km. (a) Calculate gradient of line segment BE. Incomplete Voronoi diagram shown. (b) Find equation of perpendicular bisector of BE completing the Voronoi cell of B, in form $ax+by+d=0$. (c) Explain the meaning of the Voronoi cell containing B.","(a) gradient BE=(5-3)/(11-5)=2/6=1/3; (b) midpoint BE=(8,4), perpendicular gradient=-3, equation: y-4=-3(x-8) → 3x+y-28=0; (c) the cell represents all points closer to coffee shop B than to any other coffee shop",medium,Math AI Voronoi Diagrams
Geometry and Trigonometry,Voronoi Diagrams,no_calc,6,"Voronoi diagram with rainfall gauges A, B, C, D. Scale 1 unit=1 km. (a) Write down coordinates of missing site B. (b) Calculate area of cell C. (c) Find distance from E(9,8) to nearest gauge. Average monthly rainfall: A=43, B=38, C=56, D=49 mm. (d) Estimate average monthly rainfall at F(1,6).","(a) read from diagram; (b) count grid squares or use coordinate geometry; (c) calculate distance from E to each site, take minimum; (d) F lies in cell of nearest site — use that site's rainfall value",medium,Math AI Voronoi Diagrams
Geometry and Trigonometry,Voronoi Diagrams,no_calc,6,"Voronoi diagram with fitness studios A, B, C. Missing studio D. (a) Shade cell of missing studio D. (b) Determine coordinates of D. (c) Jennifer lives equal distance from A and D. Find minimum distance her house could be from both A and C.","(a) identify unassigned region; (b) D is equidistant from nearby sites — use perpendicular bisector intersections; (c) minimum distance is at the point on the perpendicular bisector of AD closest to C — use coordinate geometry",hard,Math AI Voronoi Diagrams
Statistics and Probability,Statistics,no_calc,6,"Wet days per month in London: 17 13 11 14 13 11 13 12 13 14 16 16. (a) Find: (i) the median; (ii) the minimum and maximum values. Lower quartile=12.5, upper quartile=15. (b) Draw a box-and-whisker diagram.","(a)(i) sort: 11,11,12,13,13,13,13,14,14,16,16,17, median=(13+13)/2=13; (ii) min=11, max=17; (b) box from 12.5 to 15, median line at 13, whiskers to 11 and 17",easy,Math AI Descriptive Statistics
